song_name,link
Bad Blood (Remix),https://genius.com/Taylor-swift-bad-blood-remix-lyrics
Honey,https://genius.com/Taylor-swift-honey-lyrics
Midnight Rain,https://genius.com/Taylor-swift-midnight-rain-lyrics
Dress,https://genius.com/Taylor-swift-dress-lyrics
Gorgeous,https://genius.com/Taylor-swift-gorgeous-lyrics
Getaway Car,https://genius.com/Taylor-swift-getaway-car-lyrics
Don’t Blame Me,https://genius.com/Taylor-swift-dont-blame-me-lyrics
peace,https://genius.com/Taylor-swift-peace-lyrics
Vigilante Shit,https://genius.com/Taylor-swift-vigilante-shit-lyrics
The Manuscript,https://genius.com/Taylor-swift-the-manuscript-lyrics
How Did It End?,https://genius.com/Taylor-swift-how-did-it-end-lyrics
gold rush,https://genius.com/Taylor-swift-gold-rush-lyrics
Chloe or Sam or Sophia or Marcus,https://genius.com/Taylor-swift-chloe-or-sam-or-sophia-or-marcus-lyrics
The Archer,https://genius.com/Taylor-swift-the-archer-lyrics
The Prophecy,https://genius.com/Taylor-swift-the-prophecy-lyrics
I Don’t Wanna Live Forever,https://genius.com/Zayn-and-taylor-swift-i-dont-wanna-live-forever-lyrics
The Man,https://genius.com/Taylor-swift-the-man-lyrics
Lavender Haze,https://genius.com/Taylor-swift-lavender-haze-lyrics
Peter,https://genius.com/Taylor-swift-peter-lyrics
hoax,https://genius.com/Taylor-swift-hoax-lyrics
mad woman,https://genius.com/Taylor-swift-mad-woman-lyrics
Wildest Dreams,https://genius.com/Taylor-swift-wildest-dreams-lyrics
I Did Something Bad,https://genius.com/Taylor-swift-i-did-something-bad-lyrics
"no body, no crime",https://genius.com/Taylor-swift-no-body-no-crime-lyrics
Enchanted,https://genius.com/Taylor-swift-enchanted-lyrics
epiphany,https://genius.com/Taylor-swift-epiphany-lyrics
Bejeweled,https://genius.com/Taylor-swift-bejeweled-lyrics
Miss Americana & The Heartbreak Prince,https://genius.com/Taylor-swift-miss-americana-and-the-heartbreak-prince-lyrics
Cornelia Street,https://genius.com/Taylor-swift-cornelia-street-lyrics
the lakes,https://genius.com/Taylor-swift-the-lakes-lyrics
imgonnagetyouback,https://genius.com/Taylor-swift-imgonnagetyouback-lyrics
Sweet Nothing,https://genius.com/Taylor-swift-sweet-nothing-lyrics
Bigger Than The Whole Sky,https://genius.com/Taylor-swift-bigger-than-the-whole-sky-lyrics
I Can See You (Taylor’s Version) [From The Vault],https://genius.com/Taylor-swift-i-can-see-you-taylors-version-from-the-vault-lyrics
cowboy like me,https://genius.com/Taylor-swift-cowboy-like-me-lyrics
Bad Blood,https://genius.com/Taylor-swift-bad-blood-lyrics
Cassandra,https://genius.com/Taylor-swift-cassandra-lyrics
us.,https://genius.com/Gracie-abrams-us-lyrics
’tis the damn season,https://genius.com/Taylor-swift-tis-the-damn-season-lyrics
All Of The Girls You Loved Before,https://genius.com/Taylor-swift-all-of-the-girls-you-loved-before-lyrics
New Year’s Day,https://genius.com/Taylor-swift-new-years-day-lyrics
The Albatross,https://genius.com/Taylor-swift-the-albatross-lyrics
Clean,https://genius.com/Taylor-swift-clean-lyrics
London Boy,https://genius.com/Taylor-swift-london-boy-lyrics
Afterglow,https://genius.com/Taylor-swift-afterglow-lyrics
King of My Heart,https://genius.com/Taylor-swift-king-of-my-heart-lyrics
Death by a Thousand Cuts,https://genius.com/Taylor-swift-death-by-a-thousand-cuts-lyrics
"1 step forward, 3 steps back",https://genius.com/Olivia-rodrigo-1-step-forward-3-steps-back-lyrics
Better Man (Taylor’s Version) [From the Vault],https://genius.com/Taylor-swift-better-man-taylors-version-from-the-vault-lyrics
Long Live,https://genius.com/Taylor-swift-long-live-lyrics
False God,https://genius.com/Taylor-swift-false-god-lyrics
The Bolter,https://genius.com/Taylor-swift-the-bolter-lyrics
Labyrinth,https://genius.com/Taylor-swift-labyrinth-lyrics
Suburban Legends (Taylor’s Version) [From the Vault],https://genius.com/Taylor-swift-suburban-legends-taylors-version-from-the-vault-lyrics
The Great War,https://genius.com/Taylor-swift-the-great-war-lyrics
coney island,https://genius.com/Taylor-swift-coney-island-lyrics
Paper Rings,https://genius.com/Taylor-swift-paper-rings-lyrics
Mr. Perfectly Fine (Taylor’s Version) [From the Vault],https://genius.com/Taylor-swift-mr-perfectly-fine-taylors-version-from-the-vault-lyrics
dorothea,https://genius.com/Taylor-swift-dorothea-lyrics
Robin,https://genius.com/Taylor-swift-robin-lyrics
right where you left me,https://genius.com/Taylor-swift-right-where-you-left-me-lyrics
Paris,https://genius.com/Taylor-swift-paris-lyrics
marjorie,https://genius.com/Taylor-swift-marjorie-lyrics
So It Goes...,https://genius.com/Taylor-swift-so-it-goes-lyrics
This Is Why We Can’t Have Nice Things,https://genius.com/Taylor-swift-this-is-why-we-cant-have-nice-things-lyrics
Dancing With Our Hands Tied,https://genius.com/Taylor-swift-dancing-with-our-hands-tied-lyrics
Nothing New (Taylor’s Version) [From the Vault],https://genius.com/Taylor-swift-nothing-new-taylors-version-from-the-vault-lyrics
High Infidelity,https://genius.com/Taylor-swift-high-infidelity-lyrics
long story short,https://genius.com/Taylor-swift-long-story-short-lyrics
I Look in People’s Windows,https://genius.com/Taylor-swift-i-look-in-peoples-windows-lyrics
I Forgot That You Existed,https://genius.com/Taylor-swift-i-forgot-that-you-existed-lyrics
Out Of The Woods,https://genius.com/Taylor-swift-out-of-the-woods-lyrics
Wonderland,https://genius.com/Taylor-swift-wonderland-lyrics
When Emma Falls in Love (Taylor’s Version) [From the Vault],https://genius.com/Taylor-swift-when-emma-falls-in-love-taylors-version-from-the-vault-lyrics
I Think He Knows,https://genius.com/Taylor-swift-i-think-he-knows-lyrics
Dear Reader,https://genius.com/Taylor-swift-dear-reader-lyrics
Dear John,https://genius.com/Taylor-swift-dear-john-lyrics
Timeless (Taylor’s Version) [From The Vault],https://genius.com/Taylor-swift-timeless-taylors-version-from-the-vault-lyrics
closure,https://genius.com/Taylor-swift-closure-lyrics
Soon You’ll Get Better,https://genius.com/Taylor-swift-soon-youll-get-better-lyrics
Foolish One (Taylor’s Version) [From The Vault],https://genius.com/Taylor-swift-foolish-one-taylors-version-from-the-vault-lyrics
Castles Crumbling (Taylor’s Version) [From The Vault],https://genius.com/Taylor-swift-castles-crumbling-taylors-version-from-the-vault-lyrics
New Romantics,https://genius.com/Taylor-swift-new-romantics-lyrics
it’s time to go,https://genius.com/Taylor-swift-its-time-to-go-lyrics
Why She Disappeared [Poem],https://genius.com/Taylor-swift-why-she-disappeared-poem-annotated
This Love,https://genius.com/Taylor-swift-this-love-lyrics
I Bet You Think About Me (Taylor’s Version) [From the Vault],https://genius.com/Taylor-swift-i-bet-you-think-about-me-taylors-version-from-the-vault-lyrics
Lover (Remix),https://genius.com/Taylor-swift-lover-remix-lyrics
It’s Nice to Have a Friend,https://genius.com/Taylor-swift-its-nice-to-have-a-friend-lyrics
You Are In Love,https://genius.com/Taylor-swift-you-are-in-love-lyrics
This Is What You Came For,https://genius.com/Calvin-harris-and-rihanna-this-is-what-you-came-for-lyrics
Mean,https://genius.com/Taylor-swift-mean-lyrics
Begin Again,https://genius.com/Taylor-swift-begin-again-lyrics
Better Man,https://genius.com/Little-big-town-better-man-lyrics
Last Kiss,https://genius.com/Taylor-swift-last-kiss-lyrics
The Eras Tour Dates,https://genius.com/Taylor-swift-the-eras-tour-dates-annotated
Forever Winter (Taylor’s Version) [From the Vault],https://genius.com/Taylor-swift-forever-winter-taylors-version-from-the-vault-lyrics
Holy Ground,https://genius.com/Taylor-swift-holy-ground-lyrics
Glitch,https://genius.com/Taylor-swift-glitch-lyrics
Electric Touch (Taylor’s Version) [From the Vault],https://genius.com/Taylor-swift-electric-touch-taylors-version-from-the-vault-lyrics
Everything Has Changed,https://genius.com/Taylor-swift-everything-has-changed-lyrics
Mine,https://genius.com/Taylor-swift-mine-lyrics
I Knew You Were Trouble.,https://genius.com/Taylor-swift-i-knew-you-were-trouble-lyrics
Renegade,https://genius.com/Big-red-machine-renegade-lyrics
State of Grace,https://genius.com/Taylor-swift-state-of-grace-lyrics
The Story of Us,https://genius.com/Taylor-swift-the-story-of-us-lyrics
Need,https://genius.com/Taylor-swift-need-lyrics
Ours,https://genius.com/Taylor-swift-ours-lyrics
Red (Taylor’s Version),https://genius.com/Taylor-swift-red-taylors-version-lyrics
Better Than Revenge,https://genius.com/Taylor-swift-better-than-revenge-lyrics
Safe & Sound,https://genius.com/Taylor-swift-safe-and-sound-lyrics
You All Over Me (Taylor’s Version) [From the Vault],https://genius.com/Taylor-swift-you-all-over-me-taylors-version-from-the-vault-lyrics
Fearless,https://genius.com/Taylor-swift-fearless-lyrics
Carolina,https://genius.com/Taylor-swift-carolina-lyrics
Welcome to New York,https://genius.com/Taylor-swift-welcome-to-new-york-lyrics
I Know Places,https://genius.com/Taylor-swift-i-know-places-lyrics
I Knew You Were Trouble (Taylor’s Version),https://genius.com/Taylor-swift-i-knew-you-were-trouble-taylors-version-lyrics
Our Song,https://genius.com/Taylor-swift-our-song-lyrics
I Wish You Would,https://genius.com/Taylor-swift-i-wish-you-would-lyrics
Tim McGraw,https://genius.com/Taylor-swift-tim-mcgraw-lyrics
All You Had To Do Was Stay,https://genius.com/Taylor-swift-all-you-had-to-do-was-stay-lyrics
Love Story (Taylor’s Version),https://genius.com/Taylor-swift-love-story-taylors-version-lyrics
Back to December,https://genius.com/Taylor-swift-back-to-december-lyrics
Red,https://genius.com/Taylor-swift-red-lyrics
Message In A Bottle (Taylor’s Version) [From The Vault],https://genius.com/Taylor-swift-message-in-a-bottle-taylors-version-from-the-vault-lyrics
The Eras Tour Setlist,https://genius.com/Taylor-swift-the-eras-tour-setlist-annotated
Picture to Burn,https://genius.com/Taylor-swift-picture-to-burn-lyrics
The Alcott,https://genius.com/The-national-the-alcott-lyrics
Sparks Fly,https://genius.com/Taylor-swift-sparks-fly-lyrics
Treacherous,https://genius.com/Taylor-swift-treacherous-lyrics
Innocent,https://genius.com/Taylor-swift-innocent-lyrics
How You Get The Girl,https://genius.com/Taylor-swift-how-you-get-the-girl-lyrics
If You’re Anything Like Me [Poem],https://genius.com/Taylor-swift-if-youre-anything-like-me-poem-annotated
Teardrops on My Guitar (Radio Single Version),https://genius.com/Taylor-swift-teardrops-on-my-guitar-radio-single-version-lyrics
The Way I Loved You,https://genius.com/Taylor-swift-the-way-i-loved-you-lyrics
Better Than Revenge (Taylor’s Version),https://genius.com/Taylor-swift-better-than-revenge-taylors-version-lyrics
Reputation [Prologue],https://genius.com/Taylor-swift-reputation-prologue-annotated
Run (Taylor’s Version) [From the Vault],https://genius.com/Taylor-swift-run-taylors-version-from-the-vault-lyrics
Fifteen,https://genius.com/Taylor-swift-fifteen-lyrics
Haunted,https://genius.com/Taylor-swift-haunted-lyrics
The Last Time,https://genius.com/Taylor-swift-the-last-time-lyrics
Picture to Burn (Original Version),https://genius.com/Taylor-swift-picture-to-burn-original-version-lyrics
Never Grow Up,https://genius.com/Taylor-swift-never-grow-up-lyrics
Karma (Remix),https://genius.com/Taylor-swift-karma-remix-lyrics
The Very First Night (Taylor’s Version) [From the Vault],https://genius.com/Taylor-swift-the-very-first-night-taylors-version-from-the-vault-lyrics
Only The Young,https://genius.com/Taylor-swift-only-the-young-lyrics
The Lucky One,https://genius.com/Taylor-swift-the-lucky-one-lyrics
White Horse,https://genius.com/Taylor-swift-white-horse-lyrics
Babe (Taylor’s Version) [From the Vault],https://genius.com/Taylor-swift-babe-taylors-version-from-the-vault-lyrics
The Moment I Knew,https://genius.com/Taylor-swift-the-moment-i-knew-lyrics
Mary’s Song (Oh My My My),https://genius.com/Taylor-swift-marys-song-oh-my-my-my-lyrics
Sad Beautiful Tragic,https://genius.com/Taylor-swift-sad-beautiful-tragic-lyrics
I Almost Do,https://genius.com/Taylor-swift-i-almost-do-lyrics
That’s When (Taylor’s Version) [From the Vault],https://genius.com/Taylor-swift-thats-when-taylors-version-from-the-vault-lyrics
Come Back... Be Here,https://genius.com/Taylor-swift-come-back-be-here-lyrics
The Best Day,https://genius.com/Taylor-swift-the-best-day-lyrics
I’m Only Me When I’m with You,https://genius.com/Taylor-swift-im-only-me-when-im-with-you-lyrics
